index,ODDO1,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30
3675189,1575349.201435,-3.808108821776468,-4.679136855909196,-3.359082963598626,-4.404988913197656,-2.424940490487809,-2.9686605615480715,-1.6568260808086352,-0.5079938331869387,-0.8036000881251261,-0.7340390746134465,-0.2025246050490926,0.33409585889029736,0.11390862261079628,-12.509231665051715,-1.5787971163519752,-2.2965505744067256,-2.826669313666732,-4.096309179201973,-3.7182008507569044,-1.9477530225485304,-1.8995097310455529,-1.6895234409735667,-0.7553922415539902,0.0
3675190,1575349.645275,-3.808108821776468,-4.652386939118189,-3.321246093744348,-4.392527022003709,-2.234166461319387,-2.970194180268713,-1.6568260808086352,-0.5079938331869387,-0.9802337112861206,-0.7174992169458871,-0.11157213286748802,0.36942737607178144,0.24032216504792803,-12.509231665051715,-1.5787971163519752,-2.273725162268342,-2.8527262444620476,91.86371835647144,-3.7093168653671444,-1.9477530225485304,-1.8995097310455529,-2.052208493228457,-1.0990320004176388,0.0
3675191,1575350.089116,-3.9529678877102943,-4.56881771431029,-3.3396434901532137,-4.392527022003709,-2.234166461319387,-2.970194180268713,-1.640537021956949,-0.6373410343210203,-1.1388346275315402,-0.7174992169458871,-0.09396775811021675,0.5063474459057005,0.4404038570916341,-12.509231665051715,-1.5787971163519752,-2.273725162268342,-2.8527262444620476,91.86371835647144,-3.7093168653671444,-2.0096484504403067,-2.009981564973252,-2.12276763731272,-1.0990320004176388,0.0
3675192,1575350.532957,-4.002305460724084,-4.56881771431029,-3.3396434901532137,-4.334124114997598,-1.8232384190243671,-2.882419404919782,-1.6529655541642212,-0.7070690548258051,-1.1388346275315402,-0.7061467694032559,-0.05187937690186455,0.5380038170919474,0.5286678220539328,74.57891555472621,-1.6002235964061549,-2.730252797909536,-2.9469597882189067,-4.011690448419074,-3.77900003128297,-2.1548593848374953,-2.0389463975561637,-2.12276763731272,-1.197292758456256,0.0
3675193,1575350.976797,-4.002305460724084,-4.558179866413722,-3.3280290679095117,-4.3062704208869915,-1.8232384190243671,-2.8129086343348555,-1.6529655541642212,-0.7070690548258051,-1.2453125278402646,-0.6653657451903593,0.024815006633355008,0.4888069763829779,0.6793868424224853,74.57891555472621,-1.6002235964061549,-2.8627643027027174,-2.8992646055768256,-4.011690448419074,-3.7992410600939,-2.1548593848374953,-2.0389463975561637,-2.0018853229539397,-1.1142576187385047,0.0
3675194,1575351.420638,-4.062908794537712,-4.538088310623669,-3.3125115934925597,-4.3062704208869915,-1.7699431281242362,-2.8129086343348555,-1.7131779518783734,-0.8300599399775723,-1.2621009187255205,-0.6653657451903593,0.15760644739392893,0.7344361942351039,0.7598830773242267,-12.624007507460883,-1.5557253549520633,-2.8627643027027174,-2.8992646055768256,-3.8980888078314213,-3.7992410600939,-2.3502198828501863,-2.14254776568649,-1.9019440022080694,-1.1142576187385047,0.0
3675195,1575351.864478,-4.096155137538918,-4.538088310623669,-3.3125115934925597,-4.289980111708698,-2.021161577622612,-2.707566953640393,-1.6874739351898,-0.8423130792205878,-1.2621009187255205,-0.6253628324962018,0.28331041260287415,0.8506209233118045,0.8201873902674769,1.0197574047452267,-1.6209314478265675,-2.887975038284619,-2.8546037089079985,-3.8420362391305938,-3.8977068167906816,-2.396226146587869,-2.233966258673388,-1.9019440022080694,-1.017389562499324,0.0
3675196,1575352.308319,-4.096155137538918,-4.4250320585258285,-3.302848697335483,-4.312970152359599,-2.021161577622612,-2.6820531149242637,-1.6874739351898,-0.8423130792205878,-1.3684603127456432,-0.6444564920714182,0.30108106244640065,0.9027620571192311,0.7598830773242267,1.0197574047452267,-1.6209314478265675,-2.807901863501794,-2.8390909218697393,-3.7912687892765153,-3.957935291617191,-2.396226146587869,-2.233966258673388,-1.829288853303588,-0.7971732955370835,0.0
3675197,1575352.752159,-3.928764550005417,-4.407638788972315,-3.2688769859440368,-4.312970152359599,-2.4386511496682908,-2.6820531149242637,-1.7244640833439309,-0.9063548772954106,-1.3947687088152445,-0.6444564920714182,0.4089728090402556,0.906499847648478,0.6864446186603033,1.0197574047452267,-1.6209314478265675,-2.807901863501794,-2.8390909218697393,-3.7912687892765153,-3.957935291617191,-2.486342918930458,-2.3254598387181806,-1.8397307682261308,-0.7971732955370835,0.0
3675198,1575353.196,-3.8659574585985665,-4.407638788972315,-3.2688769859440368,-4.286112628234714,-2.68971290591889,-2.5804757710895574,-1.7175702857646198,-1.0417712114607984,-1.3947687088152445,-0.6253628324962018,0.48649856800675123,0.9102376381777247,0.5949232185113195,-12.761407601659048,-1.5841490085455612,-2.8102871869453123,-2.7820273812852374,-3.6642554492498003,-3.9870793293411997,-2.486342918930458,-2.39555360726296,-1.8397307682261308,-0.7705802192856822,0.0
3675199,1575353.630397,-3.8659574585985665,-4.3417734278171,-3.214575298912309,-4.2517349973548635,-2.735819894077254,-2.562888948617784,-1.7175702857646198,-1.0417712114607984,-1.55441643060998,-0.6991836688894101,0.5594933308727923,0.9169197218054287,0.5532656339123637,-12.761407601659048,-1.5841490085455612,-2.8102871869453123,-2.7820273812852374,-3.6642554492498003,-3.9870793293411997,-2.486342918930458,-2.39555360726296,-1.8397307682261308,-0.7705802192856822,0.0
3675200,1575354.064794,-3.8727017167502398,-4.4183154611312805,-3.180603587520862,-4.2517349973548635,-2.735819894077254,-2.562888948617784,-1.7012812269129338,-1.1630964354967184,-1.663758232893248,-0.6991836688894101,0.5947852179304624,0.8781845182760829,0.4579230117174606,-12.859968526119362,-1.6547637274531592,-2.7717147615050024,-2.739243949062361,-3.5560146998221116,-3.9803450020864357,-2.506883523513425,-2.4939551966340723,-1.7740305444069195,-0.707306388884259,0.0
3675201,1575354.499191,-3.8996787493569327,-4.4183154611312805,-3.180603587520862,-4.215306428269112,-2.7085160956521226,-2.480810471374093,-1.7012812269129338,-1.1630964354967184,-1.663758232893248,-0.7435958801897564,0.668715278156689,0.7943661317710728,0.37385612670723717,-12.954645533605891,-1.6754715788735715,-2.7717147615050024,-2.672281050490119,-3.4257810364837575,-3.9044411440454465,-2.506883523513425,-2.5555078123433206,-1.7309290634675185,-0.6515418560230403,0.0
3675202,1575354.933589,-3.8996787493569327,-4.445143026447079,-3.13217542560422,-4.165419798003691,-2.7085160956521226,-2.42603837420832,-1.7012812269129338,-1.2342029341663423,-1.7937793825375314,-0.7967069792380592,0.685093374152828,0.7307401667285303,0.31405295763886165,-12.954645533605891,-1.6754715788735715,-2.7717147615050024,-2.672281050490119,-3.4257810364837575,-3.8796344696380656,-2.506883523513425,-2.5555078123433206,-1.7240313021500722,-0.6946215103326351,0.0
3675203,1575355.367986,-3.932735113255275,-4.493576293786384,-3.0244436068804235,-4.165419798003691,-2.666659411839708,-2.42603837420832,-1.6805801376104892,-1.29841704201177,-1.8342492800950487,-0.7967069792380592,0.5594933308727923,0.6185855693397886,0.2755066412630861,-13.091645044439048,-1.7798807548480893,-2.751216494189564,-2.577971649583928,-3.340518241038531,-3.8796344696380656,-2.50191938120698,-2.630238206713103,-1.6808917120321218,-0.7566532012913177,0.0
3675204,1575355.802383,-4.071818814462035,-4.493576293786384,-3.0244436068804235,-4.159774834751261,-2.6068809378128064,-2.3606703658817505,-1.6568260808086352,-1.29841704201177,-1.8342492800950487,-0.8097353592825903,0.41973912087528104,0.5662356204189962,0.29294227190976685,-13.339989314076725,-1.7798807548480893,-2.751216494189564,-2.5661000057135737,-3.262946335384631,-3.765493329726804,-2.493202816369679,-2.7933836117539914,-1.6808917120321218,-0.7566532012913177,0.0
3675205,1575356.23678,-4.071818814462035,-4.40490167847338,-2.9401490480513397,-4.021854123590675,-2.6068809378128064,-2.3704098406141365,-1.6568260808086352,-1.3850888566260369,-2.010843401159843,-0.9306219667708197,0.33963609807182943,0.5448320712990073,0.23677239593423255,-13.339989314076725,-1.8530674078133822,-2.7462519185672813,-2.476417890916595,-3.1863215836459196,-3.671669312719746,-2.493202816369679,-2.7933836117539914,-1.6774618859626733,-0.9105279298344577,0.0
3675206,1575356.671177,-4.073775599221534,-4.379335901685458,-2.849090461912302,-4.021854123590675,-2.5060488328683466,-2.3704098406141365,-1.54829801034577,-1.4927058811338334,-2.0658303190710816,-0.9306219667708197,0.27628529020859116,0.5025261293311074,0.21225810805494735,-13.339989314076725,-1.8530674078133822,-2.7462519185672813,-2.476417890916595,-3.1863215836459196,-3.671669312719746,-2.4956848875229016,-2.9226835254488073,-1.8224101465754163,-0.8110814932368609,0.0
3675207,1575357.105574,-4.145454714732135,-4.379335901685458,-2.849090461912302,-3.8719598398565953,-2.422433398523378,-2.2784126345018803,-1.498997509371441,-1.4927058811338334,-2.0658303190710816,-1.036804261712618,0.22794080887988638,0.4183109941107024,0.20870833894125188,-3.1743504269014107,-1.7867644607083906,-2.6916415867221772,-2.4439889595774464,-3.124301945279407,-3.568599863379877,-2.5274045842290436,-2.9889666258054266,-1.8224101465754163,-0.8110814932368609,0.0
